City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
289,Linhares,BR,2020-08-30 20:15:10,-19.39,-40.07,76.39,73,59,7.45
290,Lavrentiya,RU,2020-08-30 20:15:10,65.58,-171.0,48.72,73,50,19.24
291,Aitape,PG,2020-08-30 20:15:11,-3.14,142.35,77.29,85,88,4.0
292,Antanifotsy,MG,2020-08-30 20:15:11,-19.65,47.32,54.75,81,82,4.23
293,Kavaratti,IN,2020-08-30 20:15:11,10.57,72.64,82.18,78,83,10.67
294,Dorchester,US,2020-08-30 20:15:12,33.1,-80.38,84.99,88,20,3.38
295,Gunnedah,AU,2020-08-30 20:15:12,-30.98,150.25,39.2,93,0,3.36
296,Pochutla,MX,2020-08-30 20:15:12,15.74,-96.47,90.0,66,40,6.31
297,Kiama,AU,2020-08-30 20:15:13,-34.68,150.87,59.0,63,27,5.99
298,Bossier City,US,2020-08-30 20:15:10,32.52,-93.73,93.0,55,1,9.17
299,Klaksvik,FO,2020-08-30 20:15:13,62.23,-6.59,50.0,100,100,9.17
300,Gordeyevka,RU,2020-08-30 20:15:14,52.96,31.97,68.09,64,0,11.25
301,Meulaboh,ID,2020-08-30 20:15:14,4.14,96.13,76.86,88,100,5.08
